team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated,cupmarket_price,market_rank,previous_price,price_change,price_change_percent,generated_at_utc,model_version,bracket_mode
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.95455,0.7781,0.5003,0.3564,0.26905,0.0,0.04544999999999999,0.17645,0.27780000000000005,0.14389999999999997,0.08734999999999998,1,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,64.27,1,70.04,-5.77000000000001,-8.238149628783566,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
France,I,2174.010592281348,1.0,0.0,0.0,0.0,1.0,1.0,0.71905,0.33875,0.1703,0.122,0.0,0.0,0.28095000000000003,0.38029999999999997,0.16845,0.04830000000000001,3,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,55.54,2,68.64,-13.100000000000001,-19.08508158508159,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Spain,H,2185.601557694717,1.0,0.0,0.0,0.0,1.0,0.76975,0.5745,0.4166,0.3009,0.14405,0.0,0.23024999999999995,0.19525000000000003,0.15789999999999998,0.11570000000000003,0.15685,2,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,53.04,3,51.17,1.8699999999999974,3.654485049833882,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
England,L,2097.7828564254537,1.0,0.0,0.0,0.0,1.0,1.0,0.5543,0.35775,0.1474,0.0957,0.0,0.0,0.4457,0.19655,0.21035,0.05170000000000001,4,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,51.89,4,53.52,-1.6300000000000026,-3.0455904334828148,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.8903,0.63805,0.29755,0.14155,0.0716,0.0,0.10970000000000002,0.25225,0.3405,0.15599999999999997,0.06995000000000001,5,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,50.26,5,46.02,4.239999999999995,9.213385484571914,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.47155,0.28285,0.14965,0.0586,0.0,0.0,0.52845,0.18870000000000003,0.13319999999999999,0.09105,7,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,48.21,6,48.02,0.18999999999999773,0.395668471470216,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Mexico,A,2021.7373455612208,1.0,0.0,0.0,0.0,1.0,1.0,0.3815,0.23205,0.10555,0.06205,0.0,0.0,0.6185,0.14945,0.1265,0.043500000000000004,6,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,44.78,7,45.99,-1.2100000000000009,-2.6310067405957835,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Belgium,G,1965.527949971616,1.0,0.0,0.0,0.0,1.0,1.0,0.4185,0.17795,0.09395,0.02425,0.0,0.0,0.5815,0.24054999999999999,0.08399999999999999,0.06970000000000001,10,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,43.7,8,47.8,-4.099999999999994,-8.577405857740574,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Morocco,C,2041.1018340713665,0.0,1.0,0.0,0.0,1.0,1.0,0.34885,0.1774,0.0797,0.02585,0.0,0.0,0.65115,0.17145,0.09770000000000001,0.053849999999999995,8,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,42.11,9,47.19,-5.079999999999998,-10.764992583174399,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Norway,I,1972.3416727175345,0.0,1.0,0.0,0.0,1.0,1.0,0.34825,0.1871,0.0643,0.01605,0.0,0.0,0.65175,0.16115000000000002,0.12279999999999999,0.04825,12,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,41.91,10,41.47,0.4399999999999977,1.0610079575596763,2026-07-02T10:19:01.876339+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
