team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated,cupmarket_price,market_rank,previous_price,price_change,price_change_percent,generated_at_utc,model_version,bracket_mode
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.9483,0.81885,0.62655,0.4725,0.31705,0.0,0.05169999999999997,0.12945000000000007,0.19229999999999992,0.15405000000000008,0.15544999999999998,1,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,69.98,1,69.87,0.10999999999999943,0.1574352368684692,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
France,I,2174.010592281348,1.0,0.0,0.0,0.0,1.0,1.0,0.86655,0.6634,0.34815,0.1561,0.0,0.0,0.13344999999999996,0.20315000000000005,0.31525,0.19205000000000003,3,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,68.16,2,68.6,-0.4399999999999977,-0.6413994169096178,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Spain,H,2201.234819062272,1.0,0.0,0.0,0.0,1.0,1.0,0.7192,0.5125,0.3353,0.1691,0.0,0.0,0.28080000000000005,0.2067,0.17719999999999997,0.1662,2,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,62.2,3,50.84,11.36,22.34461054287962,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
England,L,2097.7828564254537,1.0,0.0,0.0,0.0,1.0,1.0,0.5931,0.4129,0.1507,0.09005,0.0,0.0,0.40690000000000004,0.18019999999999997,0.2622,0.060649999999999996,4,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,53.73,4,53.48,0.25,0.4674644727000748,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.55545,0.2276,0.08915,0.0492,0.0,0.0,0.44455,0.32785,0.13845000000000002,0.03994999999999999,6,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,47.74,5,47.83,-0.0899999999999963,-0.18816642274722206,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Morocco,C,2041.1018340713665,0.0,1.0,0.0,0.0,1.0,1.0,0.59635,0.1884,0.07015,0.02245,0.0,0.0,0.40364999999999995,0.40795000000000003,0.11825000000000001,0.047700000000000006,8,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,47.08,6,47.13,-0.05000000000000426,-0.10608953957140731,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.88935,0.5737,0.20665,0.10085,0.0453,0.0,0.11065000000000003,0.31565,0.36705,0.1058,0.055549999999999995,7,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,46.14,7,45.83,0.3100000000000023,0.6764128300240068,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Mexico,A,2021.7373455612208,1.0,0.0,0.0,0.0,1.0,1.0,0.4069,0.26415,0.1088,0.06045,0.0,0.0,0.5931,0.14275,0.15535,0.04835,5,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,45.96,8,46.26,-0.29999999999999716,-0.6485084306095918,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
United States,D,1897.342440179041,1.0,0.0,0.0,0.0,1.0,1.0,0.5384,0.1708,0.06745,0.01685,0.0,0.0,0.4616,0.3676,0.10335000000000001,0.05059999999999999,11,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,45.45,9,46.04,-0.5899999999999963,-1.2814943527367426,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Belgium,G,1965.527949971616,1.0,0.0,0.0,0.0,1.0,1.0,0.4616,0.16365,0.0685,0.01755,0.0,0.0,0.5384,0.29795000000000005,0.09514999999999998,0.05095000000000001,10,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,43.8,10,44.51,-0.7100000000000009,-1.5951471579420375,2026-07-02T21:49:12.526078+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
