team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,previous_price,price_change,price_change_percent,generated_at_utc,model_version,bracket_mode
Senegal,I,1887.6598391694629,0.0,0.0,1.0,1.0,1.0,0.4592,0.2043,0.05355,0.01785,0.00375,0.0,0.5408,0.2549,0.15075,0.035699999999999996,0.014100000000000001,20,27.37,17,25.41,1.9600000000000009,7.713498622589535,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Morocco,C,2009.053663917143,0.0,1.0,0.0,0.0,1.0,0.44395,0.155,0.0683,0.02175,0.0091,0.0,0.5560499999999999,0.28895000000000004,0.0867,0.04655,0.012649999999999998,15,26.59,18,32.44,-5.849999999999998,-18.03329223181257,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Egypt,G,1844.9786783751013,0.0,1.0,0.0,0.0,1.0,0.41885,0.1503,0.02915,0.0065,0.0015,0.0,0.58115,0.26855,0.12115,0.02265,0.004999999999999999,23,24.99,19,23.57,1.4199999999999982,6.0246075519728395,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Ecuador,E,1962.734471394788,0.0,0.0,1.0,1.0,1.0,0.38395,0.1442,0.0457,0.01375,0.00515,0.0,0.61605,0.23975000000000002,0.0985,0.03195,0.0086,18,24.84,20,27.9,-3.0599999999999987,-10.967741935483868,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Croatia,L,1949.799831445564,0.0,1.0,0.0,0.0,1.0,0.3203,0.08995,0.0424,0.018,0.0043,0.0,0.6797,0.23034999999999997,0.04755,0.0244,0.013699999999999999,19,22.79,21,22.6,0.18999999999999773,0.8407079646017598,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Algeria,J,1866.7359487939243,0.0,0.0,1.0,1.0,1.0,0.37495,0.06455,0.01945,0.0043,0.0012,0.0,0.62505,0.3104,0.0451,0.015149999999999999,0.0031000000000000003,24,22.39,22,24.76,-2.370000000000001,-9.571890145395804,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Ivory Coast,E,1844.808848266383,0.0,1.0,0.0,0.0,1.0,0.31765,0.0607,0.02515,0.00725,0.0015,0.0,0.68235,0.25695,0.03555,0.0179,0.00575,22,21.61,23,21.7,-0.08999999999999986,-0.4147465437788012,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Austria,J,1882.751029608591,0.0,1.0,0.0,0.0,1.0,0.23025,0.07895,0.03145,0.0135,0.00275,0.0,0.7697499999999999,0.1513,0.04750000000000001,0.01795,0.01075,21,20.91,24,21.04,-0.129999999999999,-0.6178707224334554,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Bosnia-Herzegovina,B,1675.5395580180304,0.0,0.0,1.0,1.0,1.0,0.18675,0.03655,0.00345,0.0006,0.0,0.0,0.81325,0.1502,0.0331,0.00285,0.0006,28,18.61,25,18.03,0.5799999999999983,3.2168607875762523,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Congo DR,K,1804.191206108781,0.0,0.0,1.0,1.0,1.0,0.1614,0.03645,0.00785,0.00165,0.00025,0.0,0.8386,0.12494999999999998,0.028600000000000004,0.006199999999999999,0.0014,25,18.34,26,18.61,-0.2699999999999996,-1.4508328855454034,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Ghana,L,1679.3049260273535,0.0,0.0,1.0,1.0,1.0,0.1097,0.0266,0.0022,0.0003,5e-05,0.0,0.8903,0.08310000000000001,0.024399999999999998,0.0019000000000000002,0.00024999999999999995,27,17.23,27,17.28,-0.05000000000000071,-0.28935185185185597,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Sweden,F,1792.766655918093,0.0,0.0,1.0,1.0,1.0,0.0875,0.0213,0.0041,0.00035,5e-05,0.0,0.9125,0.0662,0.0172,0.0037500000000000003,0.0003,26,16.83,28,20.62,-3.7900000000000027,-18.38021338506306,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Cape Verde Islands,H,1692.993244822014,0.0,1.0,0.0,0.0,1.0,0.05175,0.0099,0.00185,0.0002,0.0,0.0,0.94825,0.04185,0.008050000000000002,0.00165,0.0002,29,16.01,29,16.02,-0.00999999999999801,-0.06242197253431967,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Germany,E,1940.1450694794064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32,15.0,30,15.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
South Africa,A,1693.614617167326,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,15.0,31,15.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Japan,F,1954.9668103896377,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,15.0,32,15.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Czechia,A,1731.2587132929823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31,5.0,33,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Curaçao,E,1590.2975033938003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30,5.0,34,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Iran,G,1873.4078788308684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34,5.0,35,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Haiti,C,1657.7903422759043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33,5.0,36,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Jordan,J,1715.5967031705195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37,5.0,37,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
New Zealand,G,1678.9442908209887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38,5.0,38,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Panama,L,1753.9772103673267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39,5.0,39,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Iraq,I,1661.1474098625897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35,5.0,40,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Qatar,B,1549.5494030220432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40,5.0,41,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Saudi Arabia,H,1705.9341181708846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41,5.0,42,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Scotland,C,1800.6524904944006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42,5.0,43,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
South Korea,A,1825.9460475707715,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44,5.0,44,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Tunisia,F,1648.6081559732288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45,5.0,45,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Turkey,D,1891.3502864268487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46,5.0,46,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Uruguay,H,1907.5228774752184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47,5.0,47,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Uzbekistan,K,1723.1994397509068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48,5.0,48,5.0,0.0,0.0,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
