team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.9567,0.77685,0.49895,0.3562,0.2674,0.0,0.0433,0.1798499999999999,0.2779,0.14275,0.0887999999999999,1,64.22,1,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,69.81,-5.590000000000003,-8.007448789571699
France,I,2174.010592281348,1.0,0.0,0.0,0.0,1.0,1.0,0.68815,0.33905,0.16805,0.1226,0.0,0.0,0.3118499999999999,0.3491,0.171,0.04545,3,54.9,2,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,57.42,-2.520000000000003,-4.388714733542325
Spain,H,2185.601557694717,1.0,0.0,0.0,0.0,1.0,0.76745,0.57025,0.42865,0.3092,0.14935,0.0,0.23255,0.1971999999999999,0.1416,0.11945,0.1598499999999999,2,53.37,3,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,52.3,1.0700000000000003,2.0458891013384326
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.8898,0.63995,0.2978,0.14695,0.073,0.0,0.1101999999999999,0.24985,0.34215,0.15085,0.07395,5,50.4,4,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,46.01,4.390000000000001,9.541404042599437
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.48505,0.28975,0.15725,0.06405,0.0,0.0,0.51495,0.1952999999999999,0.1325,0.0932,7,48.82,5,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,53.39,-4.57,-8.559655366173441
Mexico,A,2021.7373455612208,1.0,0.0,0.0,0.0,1.0,1.0,0.4475,0.28475,0.1355,0.0836,0.0,0.0,0.5525,0.16275,0.14925,0.0519,4,47.93,6,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,33.79,14.14,41.84670020716188
England,L,2087.9828858374626,1.0,0.0,0.0,0.0,1.0,0.8328,0.4608,0.28505,0.111,0.06815,0.0,0.1672,0.372,0.1757499999999999,0.17405,0.04285,6,45.1,7,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,47.34,-2.240000000000002,-4.73172792564428
Morocco,C,2041.1018340713665,0.0,1.0,0.0,0.0,1.0,1.0,0.3704,0.1866,0.08525,0.0294,0.0,0.0,0.6295999999999999,0.1838,0.1013499999999999,0.05585,8,42.86,8,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,37.71,5.149999999999999,13.65685494563776
Norway,I,1972.3416727175345,0.0,1.0,0.0,0.0,1.0,1.0,0.36345,0.1913,0.07015,0.01715,0.0,0.0,0.63655,0.17215,0.12115,0.053,10,42.4,9,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,45.64,-3.240000000000002,-7.099035933391766
Canada,B,1859.4655817712417,0.0,1.0,0.0,0.0,1.0,1.0,0.297,0.13095,0.04845,0.01165,0.0,0.0,0.7030000000000001,0.1660499999999999,0.0825,0.0368,14,39.46,10,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,45.34,-5.880000000000003,-12.968681076312311
United States,D,1881.728285285661,1.0,0.0,0.0,0.0,1.0,0.7076,0.34335,0.12665,0.05965,0.01365,0.0,0.2924,0.36425,0.2166999999999999,0.067,0.046,12,36.11,11,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,42.1,-5.990000000000002,-14.22802850356295
Portugal,K,2032.543892649518,0.0,1.0,0.0,0.0,1.0,0.67925,0.253,0.15365,0.084,0.02805,0.0,0.32075,0.42625,0.09935,0.06965,0.05595,9,35.0,12,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,36.59,-1.5900000000000034,-4.345449576387
Belgium,G,1940.014724602359,1.0,0.0,0.0,0.0,1.0,0.5733,0.35135,0.13985,0.0685,0.0167,0.0,0.4266999999999999,0.22195,0.2115,0.07135,0.0518,11,34.7,13,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,31.46,3.240000000000002,10.298792116973942
Paraguay,D,1910.0130491359168,0.0,0.0,1.0,1.0,1.0,1.0,0.1552,0.0341,0.00755,0.00285,0.0,0.0,0.8448,0.1211,0.0265499999999999,0.0047,17,33.94,14,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,43.51,-9.57,-21.994943691105494
Switzerland,B,1960.1708214308785,1.0,0.0,0.0,0.0,1.0,0.59285,0.20365,0.07865,0.0304,0.0132,0.0,0.40715,0.3892,0.125,0.04825,0.0172,13,30.19,15,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,28.29,1.9000000000000021,6.716154118062928
Australia,D,1897.239373980468,0.0,1.0,0.0,0.0,1.0,0.5689,0.12195,0.0516,0.0139,0.0044,0.0,0.4311,0.4469499999999999,0.07035,0.0377,0.0094999999999999,15,27.28,16,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,30.43,-3.1499999999999986,-10.351626684193226
Algeria,J,1866.7359487939243,0.0,0.0,1.0,1.0,1.0,0.3916,0.1453,0.0347,0.01035,0.00245,0.0,0.6084,0.2463,0.1106,0.02435,0.0079,20,24.67,17,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,22.36,2.3100000000000023,10.330948121645806
Senegal,I,1887.6598391694629,0.0,0.0,1.0,1.0,1.0,0.3678,0.14055,0.03835,0.01195,0.0025,0.0,0.6322,0.22725,0.1022,0.0264,0.00945,19,24.31,18,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,27.42,-3.110000000000003,-11.342086068563102
Egypt,G,1844.9786783751013,0.0,1.0,0.0,0.0,1.0,0.4311,0.08735,0.03265,0.0073,0.0019,0.0,0.5689,0.34375,0.0547,0.0253499999999999,0.0054,21,24.0,19,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,25.08,-1.0799999999999983,-4.3062200956937735
Croatia,L,1949.799831445564,0.0,1.0,0.0,0.0,1.0,0.32075,0.08865,0.043,0.0154,0.0032,0.0,0.67925,0.2320999999999999,0.04565,0.0275999999999999,0.0122,16,22.72,20,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,22.73,-0.010000000000001563,-0.043994720633530854
Austria,J,1882.751029608591,0.0,1.0,0.0,0.0,1.0,0.23255,0.0881,0.03405,0.0126,0.00255,0.0,0.76745,0.14445,0.05405,0.0214499999999999,0.01005,18,21.16,21,2026-07-01 09:23:21.221342+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,20.95,0.21000000000000085,1.002386634844873
