team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Argentina,J,2205.741574215096,1.0,0.0,0.0,0.0,1.0,1.0,0.7712,0.5025,0.37085,0.2753,0.0,0.0,0.2288,0.2687,0.1316499999999999,0.09555,1,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,65.17,1,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,69.3,-4.1299999999999955,-5.959595959595953
France,I,2184.7810048241463,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3289,0.1561,0.11025,0.0,0.0,0.0,0.6711,0.1728,0.0458499999999999,3,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,60.57,2,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,70.97,-10.399999999999999,-14.654079188389458
Morocco,C,2076.610806403796,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.21925,0.1156,0.0455,0.0,0.0,0.0,0.78075,0.10365,0.0701,8,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,56.8,3,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,59.56,-2.760000000000005,-4.63398253861653
Spain,H,2201.234819062272,1.0,0.0,0.0,0.0,1.0,1.0,0.5747,0.4231,0.2956,0.1398,0.0,0.0,0.4253,0.1516,0.1275,0.1557999999999999,2,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,56.49,4,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,57.25,-0.759999999999998,-1.3275109170305641
England,L,2097.7828564254537,1.0,0.0,0.0,0.0,1.0,1.0,0.5437,0.3461,0.13665,0.0889,0.0,0.0,0.4563,0.1975999999999999,0.20945,0.0477499999999999,4,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,51.18,5,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,53.38,-2.200000000000003,-4.121393780442118
Colombia,K,2070.714685588958,1.0,0.0,0.0,0.0,1.0,1.0,0.6,0.28625,0.13505,0.0657,0.0,0.0,0.4,0.31375,0.1512,0.06935,5,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,50.74,6,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,52.72,-1.9799999999999969,-3.7556904400606923
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.51115,0.2998,0.1499,0.05465,0.0,0.0,0.48885,0.2113499999999999,0.1499,0.09525,7,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,49.29,7,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,47.62,1.6700000000000017,3.5069298614027757
Mexico,A,2021.7373455612208,1.0,0.0,0.0,0.0,1.0,1.0,0.3859,0.2369,0.10435,0.06385,0.0,0.0,0.6141,0.149,0.13255,0.0404999999999999,6,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,44.98,8,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,45.92,-0.9400000000000048,-2.047038327526143
Belgium,G,1965.527949971616,1.0,0.0,0.0,0.0,1.0,1.0,0.3947,0.1579,0.0807,0.0215,0.0,0.0,0.6053,0.2367999999999999,0.0772,0.0591999999999999,11,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,42.58,9,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,43.57,-0.990000000000002,-2.2722056460867615
United States,D,1897.342440179041,1.0,0.0,0.0,0.0,1.0,1.0,0.37735,0.1394,0.0658,0.016,0.0,0.0,0.6226499999999999,0.23795,0.0736,0.0498,12,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,41.56,10,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,45.24,-3.6799999999999997,-8.134394341290893
Portugal,K,2055.531279189894,0.0,1.0,0.0,0.0,1.0,1.0,0.28145,0.17235,0.09665,0.0331,0.0,0.0,0.71855,0.1090999999999999,0.0757,0.06355,9,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,41.02,11,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,44.52,-3.5,-7.861635220125786
Norway,I,1972.3416727175345,0.0,1.0,0.0,0.0,1.0,1.0,0.3156,0.16765,0.0554,0.01215,0.0,0.0,0.6844,0.14795,0.1122499999999999,0.04325,13,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,40.68,12,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,41.53,-0.8500000000000014,-2.0467132193595026
Canada,B,1823.9566094388128,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17,30.0,10.39,40.39,floor 30.00; record 2-1-2; GD +3; group score 0.75; Elo score 0.90; loss quality 0.36; market signal 0.41; capped below 50.00,True,40.39,13,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,40.58,-0.18999999999999773,-0.46821094135041336
Paraguay,D,1899.2426365931187,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19,30.0,9.84,39.84,floor 30.00; record 2-1-2; GD -3; group score 0.45; Elo score 0.94; loss quality 0.85; market signal 0.25; capped below 50.00,True,39.84,14,2026-07-05 12:22:03.281964+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,39.81,0.030000000000001137,0.07535795026375568
