team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.95905,0.77915,0.5084,0.38665,0.27605,0.0,0.04095,0.1798999999999999,0.27075,0.1217499999999999,0.1105999999999999,1,65.08,1,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,69.81,-4.730000000000004,-6.775533591176055
France,I,2174.010592281348,1.0,0.0,0.0,0.0,1.0,1.0,0.6844,0.44975,0.2702,0.1297,0.0,0.0,0.3156,0.23465,0.17955,0.1404999999999999,3,58.68,2,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,57.42,1.259999999999998,2.1943573667711562
Spain,H,2185.601557694717,1.0,0.0,0.0,0.0,1.0,0.7708,0.57315,0.42905,0.28425,0.1449,0.0,0.2291999999999999,0.19765,0.1441,0.1447999999999999,0.13935,2,53.04,3,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,52.3,0.740000000000002,1.4149139579349943
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.8924,0.6378,0.2918,0.1468,0.073,0.0,0.1076,0.2545999999999999,0.346,0.145,0.0738,5,50.28,4,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,46.01,4.270000000000003,9.280591175831349
Mexico,A,2021.7373455612208,1.0,0.0,0.0,0.0,1.0,1.0,0.44875,0.2989,0.13855,0.0834,0.0,0.0,0.55125,0.1498499999999999,0.16035,0.05515,4,48.28,5,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,33.79,14.490000000000002,42.88250961823025
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.4372,0.2148,0.096,0.0551,0.0,0.0,0.5628,0.2224,0.1187999999999999,0.0409,7,45.31,6,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,53.39,-8.079999999999998,-15.133920209777108
England,L,2087.9828858374626,1.0,0.0,0.0,0.0,1.0,0.8393,0.46065,0.2922,0.1097,0.06625,0.0,0.1606999999999999,0.37865,0.16845,0.1825,0.04345,6,45.29,7,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,47.34,-2.0500000000000043,-4.330376003379814
Morocco,C,2041.1018340713665,0.0,1.0,0.0,0.0,1.0,1.0,0.39825,0.2057,0.09285,0.0342,0.0,0.0,0.60175,0.19255,0.1128499999999999,0.05865,8,43.98,8,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,37.71,6.269999999999996,16.626889419252176
Norway,I,1972.3416727175345,0.0,1.0,0.0,0.0,1.0,1.0,0.34955,0.10775,0.03095,0.01335,0.0,0.0,0.65045,0.2418,0.0768,0.0175999999999999,12,39.81,9,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,45.64,-5.829999999999998,-12.773882559158627
Canada,B,1859.4655817712417,0.0,1.0,0.0,0.0,1.0,1.0,0.3008,0.11405,0.04225,0.0116,0.0,0.0,0.6992,0.18675,0.0718,0.03065,14,39.1,10,2026-07-01 08:55:57.327345+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,45.34,-6.240000000000002,-13.762681958535513
