team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated,cupmarket_price,market_rank,previous_price,price_change,price_change_percent,generated_at_utc,model_version,bracket_mode
Spain,H,2219.3428702800225,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.68615,0.44425,0.22155,0.0,0.0,0.0,0.31384999999999996,0.24190000000000006,0.22269999999999998,2,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,73.71,1,75.03,-1.3200000000000074,-1.759296281487415,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
England,L,2126.829431538445,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.77315,0.3301,0.1904,0.0,0.0,0.0,0.22685,0.44305,0.1397,3,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,73.27,2,73.41,-0.14000000000000057,-0.1907097125732197,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
France,I,2184.7810048241463,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6741,0.29245,0.12175,0.0,0.0,0.0,0.32589999999999997,0.38165000000000004,0.1707,4,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,69.69,3,69.83,-0.14000000000000057,-0.200486896749249,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Argentina,J,2205.741574215096,1.0,0.0,0.0,0.0,1.0,1.0,0.7858,0.59315,0.422,0.28015,0.0,0.0,0.21419999999999995,0.1926500000000001,0.17114999999999997,0.14184999999999998,1,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,68.11,4,68.93,-0.8200000000000074,-1.1896126505150257,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Morocco,C,2076.610806403796,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3259,0.12535,0.0501,0.0,0.0,0.0,0.6740999999999999,0.20055000000000003,0.07524999999999998,5,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,59.15,5,59.19,-0.03999999999999915,-0.06757898293630538,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Belgium,G,2017.5466101636707,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.31385,0.13795,0.04335,0.0,0.0,0.0,0.68615,0.17590000000000003,0.09459999999999999,7,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,59.0,6,43.07,15.93,36.986301369863014,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Norway,I,2012.305247618376,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.22685,0.0597,0.0246,0.0,0.0,0.0,0.77315,0.16715,0.035100000000000006,8,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,55.8,7,55.47,0.3299999999999983,0.5949161709031878,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Colombia,K,2070.714685588958,1.0,0.0,0.0,0.0,1.0,1.0,0.7576,0.25505,0.1223,0.04655,0.0,0.0,0.24239999999999995,0.50255,0.13274999999999998,0.07575000000000001,6,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,52.79,8,52.61,0.17999999999999972,0.3421402775137801,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Mexico,A,1992.6907704482287,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31,30.0,14.97,44.97,floor 30.00; record 4-0-1; GD +7; group score 1.00; Elo score 0.96; loss quality 0.85; market signal 0.75; capped below 50.00,True,44.97,9,44.98,-0.00999999999999801,-0.022232103156954227,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Brazil,C,2052.315735183412,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15,30.0,14.35,44.35,floor 30.00; record 3-1-1; GD +6; group score 1.00; Elo score 0.98; loss quality 0.84; market signal 0.72; capped below 50.00,True,44.35,10,44.35,0.0,0.0,2026-07-07T05:46:31.271317+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
