team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.95885,0.77815,0.4936,0.38785,0.27365,0.0,0.04115,0.1806999999999999,0.28455,0.10575,0.1141999999999999,1,64.74,1,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,64.16,0.5799999999999983,0.9039900249376532
France,I,2162.8624284479024,1.0,0.0,0.0,0.0,1.0,0.828,0.6438,0.41905,0.2413,0.11995,0.0,0.172,0.1841999999999999,0.22475,0.17775,0.1213499999999999,3,54.1,2,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,53.89,0.21000000000000085,0.3896826869549097
Spain,H,2185.601557694717,1.0,0.0,0.0,0.0,1.0,0.7694,0.5735,0.42505,0.28875,0.14875,0.0,0.2306,0.1958999999999999,0.14845,0.1362999999999999,0.14,2,53.07,3,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,53.33,-0.259999999999998,-0.4875304706544122
England,L,2087.9828858374626,1.0,0.0,0.0,0.0,1.0,0.8433,0.6045,0.41945,0.1694,0.1034,0.0,0.1566999999999999,0.2388,0.18505,0.25005,0.0659999999999999,4,52.22,4,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,50.84,1.3799999999999955,2.714398111723044
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.89015,0.632,0.2978,0.16895,0.08495,0.0,0.10985,0.25815,0.3342,0.12885,0.0839999999999999,5,50.76,5,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,50.17,0.5899999999999963,1.176001594578426
Brazil,C,2070.1231402790586,1.0,0.0,0.0,0.0,1.0,0.59845,0.37525,0.1808,0.0746,0.0443,0.0,0.4015499999999999,0.2232,0.1944499999999999,0.1061999999999999,0.0303,6,36.88,6,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,36.88,0.0,0.0
Mexico,A,1988.196208319044,1.0,0.0,0.0,0.0,1.0,0.6999,0.2704,0.16845,0.0596,0.0351,0.0,0.3001,0.4295,0.1019499999999999,0.1088499999999999,0.0245,7,35.7,7,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,36.69,-0.9899999999999949,-2.698282910874884
Germany,E,1979.200396172908,1.0,0.0,0.0,0.0,1.0,0.80225,0.2574,0.1278,0.0477,0.01265,0.0,0.1977499999999999,0.5448500000000001,0.1296,0.0801,0.03505,13,35.64,8,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,35.66,-0.01999999999999602,-0.056085249579349475
United States,D,1881.728285285661,1.0,0.0,0.0,0.0,1.0,0.69695,0.3341,0.1262,0.04985,0.012,0.0,0.30305,0.3628499999999999,0.2079,0.07635,0.0378499999999999,14,35.59,9,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,34.16,1.4300000000000068,4.186182669789248
Netherlands,F,2032.8108614565144,1.0,0.0,0.0,0.0,1.0,0.50845,0.35905,0.18965,0.0814,0.0264,0.0,0.49155,0.1493999999999999,0.1693999999999999,0.10825,0.055,9,35.22,10,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,37.22,-2.0,-5.373455131649651
Portugal,K,2032.543892649518,0.0,1.0,0.0,0.0,1.0,0.6816,0.25235,0.1541,0.07375,0.0279,0.0,0.3184,0.4292499999999999,0.09825,0.0803499999999999,0.0458499999999999,8,34.88,11,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,34.89,-0.00999999999999801,-0.02866150759529381
Norway,I,1951.2558569055784,0.0,1.0,0.0,0.0,1.0,0.68335,0.343,0.10225,0.0274,0.01165,0.0,0.31665,0.34035,0.24075,0.07485,0.01575,15,34.74,12,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,34.38,0.35999999999999943,1.0471204188481658
Belgium,G,1940.014724602359,1.0,0.0,0.0,0.0,1.0,0.55725,0.34605,0.1369,0.06125,0.01545,0.0,0.44275,0.2112,0.20915,0.07565,0.0458,12,34.17,13,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,34.3,-0.12999999999999545,-0.3790087463556719
Morocco,C,2009.053663917143,0.0,1.0,0.0,0.0,1.0,0.49155,0.3222,0.144,0.06435,0.02255,0.0,0.5084500000000001,0.16935,0.1782,0.0796499999999999,0.0418,10,33.0,14,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,30.61,2.3900000000000006,7.807905913100296
Canada,B,1845.195587017116,0.0,1.0,0.0,0.0,1.0,0.66645,0.2361,0.07435,0.0249,0.00705,0.0,0.33355,0.43035,0.16175,0.04945,0.0178499999999999,18,31.68,15,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,32.09,-0.4100000000000037,-1.2776565908382786
Switzerland,B,1960.1708214308785,1.0,0.0,0.0,0.0,1.0,0.57215,0.2,0.07915,0.0393,0.01685,0.0,0.4278499999999999,0.37215,0.12085,0.03985,0.02245,11,30.01,16,2026-06-28 17:46:32.388839+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,30.48,-0.46999999999999886,-1.5419947506561642
