team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.95645,0.77295,0.49475,0.39475,0.29,0.0,0.0435499999999999,0.1835,0.2782,0.1,0.10475,1,64.97,1,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,65.21,-0.23999999999999488,-0.3680417113939502
France,I,2162.8624284479024,1.0,0.0,0.0,0.0,1.0,0.83015,0.64145,0.41235,0.24475,0.11345,0.0,0.1698499999999999,0.1887000000000001,0.2290999999999999,0.1676,0.1313,3,53.9,2,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,53.71,0.18999999999999773,0.3537516291193404
Spain,H,2185.601557694717,1.0,0.0,0.0,0.0,1.0,0.76995,0.571,0.4183,0.2789,0.14325,0.0,0.2300499999999999,0.19895,0.1526999999999999,0.1394,0.13565,2,52.67,3,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,52.84,-0.1700000000000017,-0.32172596517789875
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.8875,0.6381,0.29665,0.16995,0.0845,0.0,0.1125,0.2493999999999999,0.34145,0.1267,0.0854499999999999,5,50.82,4,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,50.32,0.5,0.9936406995230525
England,L,2087.9828858374626,1.0,0.0,0.0,0.0,1.0,0.83935,0.5724,0.39675,0.15635,0.0925,0.0,0.1606499999999999,0.26695,0.17565,0.2404,0.0638499999999999,4,50.71,5,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,50.91,-0.19999999999999574,-0.39285012767628313
Canada,B,1859.4655817712417,0.0,1.0,0.0,0.0,1.0,1.0,0.2917,0.1004,0.03875,0.01155,0.0,0.0,0.7082999999999999,0.1913,0.06165,0.0272,16,38.6,6,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,38.0,0.6000000000000014,1.5789473684210564
Brazil,C,2070.1231402790586,1.0,0.0,0.0,0.0,1.0,0.60115,0.38065,0.1854,0.0722,0.04435,0.0,0.39885,0.2204999999999999,0.1952499999999999,0.1132,0.02785,6,37.09,7,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,37.05,0.04000000000000625,0.107962213225388
Germany,E,1979.200396172908,1.0,0.0,0.0,0.0,1.0,0.8081,0.2617,0.1347,0.0497,0.01485,0.0,0.1918999999999999,0.5464,0.127,0.0849999999999999,0.03485,13,36.02,8,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,36.14,-0.11999999999999744,-0.3320420586607566
Mexico,A,1988.196208319044,1.0,0.0,0.0,0.0,1.0,0.6736,0.2897,0.1782,0.0616,0.03425,0.0,0.3264,0.3838999999999999,0.1115,0.1166,0.02735,7,35.9,9,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,35.92,-0.020000000000003126,-0.0556792873051312
United States,D,1881.728285285661,1.0,0.0,0.0,0.0,1.0,0.6961,0.33855,0.128,0.05305,0.0131,0.0,0.3038999999999999,0.35755,0.21055,0.07495,0.03995,14,35.76,10,2026-06-28 22:41:09.869071+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,36.06,-0.30000000000000426,-0.8319467554076657
