team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Argentina,J,2205.741574215096,1.0,0.0,0.0,0.0,1.0,1.0,0.77815,0.50305,0.37065,0.27155,0.0,0.0,0.22185,0.2751,0.1324,0.0990999999999999,1,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,65.26,1,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,69.16,-3.8999999999999915,-5.63909774436089
France,I,2184.7810048241463,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3307,0.16175,0.1052,0.0,0.0,0.0,0.6693,0.16895,0.05655,3,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,60.62,2,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,71.08,-10.46,-14.715813168261114
Spain,H,2201.234819062272,1.0,0.0,0.0,0.0,1.0,1.0,0.57435,0.42755,0.30875,0.154,0.0,0.0,0.42565,0.1468,0.1187999999999999,0.15475,2,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,56.98,3,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,57.42,-0.44000000000000483,-0.7662835249042229
Morocco,C,2076.610806403796,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2185,0.1094,0.04495,0.0,0.0,0.0,0.7815,0.1091,0.06445,8,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,56.69,4,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,59.53,-2.8400000000000034,-4.770703846799939
England,L,2097.7828564254537,1.0,0.0,0.0,0.0,1.0,1.0,0.54315,0.3419,0.12765,0.0791,0.0,0.0,0.45685,0.20125,0.2142499999999999,0.04855,4,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,50.8,5,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,53.15,-2.3500000000000014,-4.42144873000941
Colombia,K,2070.714685588958,1.0,0.0,0.0,0.0,1.0,1.0,0.58275,0.2767,0.13255,0.064,0.0,0.0,0.41725,0.30605,0.14415,0.06855,5,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,50.14,6,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,52.8,-2.6599999999999966,-5.037878787878782
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.50805,0.2959,0.14755,0.06065,0.0,0.0,0.49195,0.21215,0.14835,0.0868999999999999,7,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,49.2,7,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,47.9,1.3000000000000043,2.7139874739039755
Mexico,A,2021.7373455612208,1.0,0.0,0.0,0.0,1.0,1.0,0.3877,0.2408,0.1047,0.0618,0.0,0.0,0.6123000000000001,0.1469,0.1361,0.0429,6,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,45.07,8,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,46.15,-1.0799999999999983,-2.3401950162513505
Belgium,G,1965.527949971616,1.0,0.0,0.0,0.0,1.0,1.0,0.39695,0.15455,0.0767,0.0203,0.0,0.0,0.60305,0.2424,0.0778499999999999,0.0564,11,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,42.48,9,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,43.56,-1.0800000000000054,-2.479338842975219
United States,D,1897.342440179041,1.0,0.0,0.0,0.0,1.0,1.0,0.3735,0.13175,0.0619,0.0159,0.0,0.0,0.6265000000000001,0.24175,0.06985,0.046,12,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,41.27,10,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,45.2,-3.9299999999999997,-8.694690265486726
Portugal,K,2055.531279189894,0.0,1.0,0.0,0.0,1.0,1.0,0.28,0.17875,0.10085,0.0358,0.0,0.0,0.72,0.10125,0.0779,0.06505,9,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,41.22,11,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,44.43,-3.210000000000001,-7.224848075624581
Norway,I,1972.3416727175345,0.0,1.0,0.0,0.0,1.0,1.0,0.31675,0.1674,0.05505,0.0122,0.0,0.0,0.68325,0.1493499999999999,0.1123499999999999,0.04285,13,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,40.69,12,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,41.32,-0.6300000000000026,-1.5246853823814195
Canada,B,1823.9566094388128,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17,30.0,10.58,40.58,floor 30.00; record 2-1-2; GD +3; group score 0.75; Elo score 0.90; loss quality 0.36; market signal 0.53; capped below 50.00,True,40.58,13,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,40.58,0.0,0.0
Paraguay,D,1899.2426365931187,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19,30.0,9.81,39.81,floor 30.00; record 2-1-2; GD -3; group score 0.45; Elo score 0.94; loss quality 0.85; market signal 0.23; capped below 50.00,True,39.81,14,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,39.71,0.10000000000000142,0.2518257365902831
Switzerland,B,1993.3526382281264,1.0,0.0,0.0,0.0,1.0,1.0,0.29535,0.1273,0.0588,0.02685,0.0,0.0,0.70465,0.16805,0.0685,0.03195,10,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,39.74,15,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,37.29,2.450000000000003,6.570126039152596
Egypt,G,1896.6969132105075,0.0,1.0,0.0,0.0,1.0,1.0,0.1478,0.04775,0.01475,0.00455,0.0,0.0,0.8522000000000001,0.1000499999999999,0.033,0.0101999999999999,14,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,34.2,16,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,36.02,-1.8200000000000003,-5.052748473070516
Netherlands,F,2000.7626913022912,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15.0,10.92,25.92,floor 15.00; record 2-1-1; GD +6; group score 1.00; Elo score 0.97; loss quality 1.00; market signal 0.73; capped below 30.00,True,25.92,17,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,25.92,0.0,0.0
Germany,E,1940.1450694794064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,15.0,10.59,25.59,floor 15.00; record 2-0-2; GD +6; group score 1.00; Elo score 0.96; loss quality 0.99; market signal 0.71; capped below 30.00,True,25.59,18,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,25.59,0.0,0.0
Japan,F,1954.9668103896377,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16,15.0,9.03,24.03,floor 15.00; record 1-2-1; GD +3; group score 0.75; Elo score 0.96; loss quality 0.85; market signal 0.60; capped below 30.00,True,24.03,19,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,24.03,0.0,0.0
Ivory Coast,E,1823.723032454427,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23,15.0,8.89,23.89,floor 15.00; record 2-0-2; GD +1; group score 0.75; Elo score 0.90; loss quality 0.84; market signal 0.59; capped below 30.00,True,23.89,20,2026-07-05 08:34:20.302132+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,23.89,0.0,0.0
