match_id,utc_date,status,stage,group,matchday,home_team,away_team,winner,duration,home_score_full_time,away_score_full_time,last_updated
537359,2026-06-20 17:00:00+00:00,TIMED,GROUP_STAGE,GROUP_F,2.0,Netherlands,Sweden,,REGULAR,,,2026-06-10 10:20:19+00:00
537353,2026-06-20 20:00:00+00:00,TIMED,GROUP_STAGE,GROUP_E,2.0,Germany,Ivory Coast,,REGULAR,,,2026-06-10 10:20:19+00:00
537354,2026-06-21 00:00:00+00:00,TIMED,GROUP_STAGE,GROUP_E,2.0,Ecuador,Curaçao,,REGULAR,,,2026-06-10 10:20:19+00:00
537360,2026-06-21 04:00:00+00:00,TIMED,GROUP_STAGE,GROUP_F,2.0,Tunisia,Japan,,REGULAR,,,2026-06-10 10:20:19+00:00
537371,2026-06-21 16:00:00+00:00,TIMED,GROUP_STAGE,GROUP_H,2.0,Spain,Saudi Arabia,,REGULAR,,,2026-06-10 10:20:19+00:00
537365,2026-06-21 19:00:00+00:00,TIMED,GROUP_STAGE,GROUP_G,2.0,Belgium,Iran,,REGULAR,,,2026-06-10 10:20:19+00:00
537372,2026-06-21 22:00:00+00:00,TIMED,GROUP_STAGE,GROUP_H,2.0,Uruguay,Cape Verde Islands,,REGULAR,,,2026-06-10 10:20:19+00:00
537366,2026-06-22 01:00:00+00:00,TIMED,GROUP_STAGE,GROUP_G,2.0,New Zealand,Egypt,,REGULAR,,,2026-06-10 10:20:19+00:00
537399,2026-06-22 17:00:00+00:00,TIMED,GROUP_STAGE,GROUP_J,2.0,Argentina,Austria,,REGULAR,,,2026-06-10 10:20:19+00:00
537393,2026-06-22 21:00:00+00:00,TIMED,GROUP_STAGE,GROUP_I,2.0,France,Iraq,,REGULAR,,,2026-06-10 10:20:19+00:00
537394,2026-06-23 00:00:00+00:00,TIMED,GROUP_STAGE,GROUP_I,2.0,Norway,Senegal,,REGULAR,,,2026-06-10 10:20:19+00:00
537400,2026-06-23 03:00:00+00:00,TIMED,GROUP_STAGE,GROUP_J,2.0,Jordan,Algeria,,REGULAR,,,2026-06-10 10:20:19+00:00
